instance,n,GENALGO,GENALGO-R,GRASPR
AnKeVa_2005_60dept_set1.txt,60,1477834,1477834,1477834
AnKeVa_2005_60dept_set2.txt,60,841776,841776,841776
AnKeVa_2005_60dept_set3.txt,60,648337.5,648337.5,648337.5
AnKeVa_2005_60dept_set4.txt,60,398406,398406,398406
AnKeVa_2005_60dept_set5.txt,60,318805,318805,318805
AnKeVa_2005_70dept_set1.txt,70,1528537,1528537,1528537
AnKeVa_2005_70dept_set2.txt,70,1441028,1441028,1441028
AnKeVa_2005_70dept_set3.txt,70,1518993.5,1518993.5,1518993.5
AnKeVa_2005_70dept_set4.txt,70,968796,968796,968796
AnKeVa_2005_70dept_set5.txt,70,4218002.5,4218002.5,4218002.5
AnKeVa_2005_75dept_set1.txt,75,2393456.5,2393456.5,2393456.5
AnKeVa_2005_75dept_set2.txt,75,4321190,4321190,4321190
AnKeVa_2005_75dept_set3.txt,75,1248423,1248423,1248423
AnKeVa_2005_75dept_set4.txt,75,3941816.5,3941816.5,3941816.5
AnKeVa_2005_75dept_set5.txt,75,1791408,1791408,1791408
AnKeVa_2005_80dept_set1.txt,80,2069097.5,2069097.5,2069097.5
AnKeVa_2005_80dept_set2.txt,80,1921136,1921136,1921136
AnKeVa_2005_80dept_set3.txt,80,3251368,3251368,3251368
AnKeVa_2005_80dept_set4.txt,80,3746515,3746515,3746515
AnKeVa_2005_80dept_set5.txt,80,1588885,1588885,1588885
QAP_sko64_01_n.txt,64,96881,96881,96881
QAP_sko64_02_n.txt,64,634332.5,634332.5,634332.5
QAP_sko64_03_n.txt,64,414323.5,414323.5,414323.5
QAP_sko64_04_n.txt,64,297129,297129,297129
QAP_sko64_05_n.txt,64,501922.5,501922.5,501922.5
QAP_sko72_01_n.txt,72,139150,139150,139150
QAP_sko72_02_n.txt,72,711998,711998,711998
QAP_sko72_03_n.txt,72,1054110.5,1054110.5,1054110.5
QAP_sko72_04_n.txt,72,919586.5,919586.5,919586.5
QAP_sko72_05_n.txt,72,428226.5,428226.5,428226.5
QAP_sko81_01_n.txt,81,205108.5,205106,205106
QAP_sko81_02_n.txt,81,521391.5,521391.5,521391.5
QAP_sko81_03_n.txt,81,970796,970796,970796
QAP_sko81_04_n.txt,81,2031803,2031803,2031803
QAP_sko81_05_n.txt,81,1302711,1302711,1302711
QAP_sko100_01_n.txt,100,378234,378234,378234
QAP_sko100_02_n.txt,100,2076008.5,2076008.5,2076008.5
QAP_sko100_03_n.txt,100,16145614.5,16145614.5,16145614.5
QAP_sko100_04_n.txt,100,3232522,3232522,3232522
QAP_sko100_05_n.txt,100,1033080.5,1033080.5,1033080.5
SRFLP1_N_110_L_7_23_F_0_100.txt,110,144296664.5,144296664.5,144296664.5
SRFLP2_N_110_L_5_14_F_0_100.txt,110,86050037,86050037,86050037
SRFLP3_N_110_L_3_7_F_0_5.txt,110,2234743.5,2234743.5,2234743.5
